Location;latitude;longitude;ID
Sumber Mulya;-8.205198;140.2163;1101
DANDANG;-3.123373;114.0807;1109
TALIO HULU;-3.083322;114.0995;1109
Medura Sebangau;-2.902878;113.7631;1109
Jaya Kelapa;-2.85925;112.903694;1109
Jaya Kelapa;-2.85925;112.903694;1113
Buntoi;-2.838133;114.1751;1109
Bapinang Hilir;-2.8345;113.030417;1109
Bapinang Hilir;-2.8345;113.030417;1113
JAMBU;-2.71366;114.78318;1109
Gohong;-2.678327;114.311;1109
Garung;-2.654022;114.2206;1109
Henda 1;-2.615957;114.2436;1109
Henda 2;-2.603828;114.1924;1109
Saka Kajang;-2.556083;114.1808;1109
Jabiren 2;-2.548813;114.1695;1109
PULAU KALADAN;-2.538306;114.40025;1109
Jabiren 1;-2.512518;114.1697;1109
Pilang 2;-2.489442;114.1943;1109
Haur Gading;-2.462153;115.400872;1109
Mantimin;-2.396723;115.3862;1109
Tanjung Taruna;-2.322908;114.0664;1109
TN Sebangau 2;-2.294397;113.8289;1109
TN Sebangau 3;-2.265627;113.7932;1109
Tanjung Sangalang;-2.14019;113.9657;1109
Bukit Rawi;-2.103473;113.9761;1109
Sigi;-2.032323;113.9586;1109
Bukit liti 3;-1.949598;114.0101;1109
Bukit liti 2;-1.942513;114.021;1109
BUKIT LITI1;-1.933182;114.041;1109
Parit Culum II;-1.298489;103.773201;1111
Parit Culum II;-1.298489;103.773201;1118
Catur Rahayu;-1.274317;103.900168;1111
Catur Rahayu;-1.274317;103.900168;1118
Pandan Lagan;-1.231973;103.680181;1111
Pandan Lagan;-1.231973;103.680181;1118
Pandan Sejahtera;-1.190497;103.674229;1111
Pandan Sejahtera;-1.190497;103.674229;1118
PEMATANG BULUH;-1.081556;103.371518;1118
Bram Itam Raya;-0.921704;103.354661;1118
Bram Itam Kanan;-0.90806;103.321105;1118
Bram Itam Kanan;-0.90806;103.321105;1119
OLAK - OLAK;-0.490543;109.364693;1117
Punggur Kecil;-0.129133;109.3277;1117
Simpang Kanan 2;-0.087963;109.476;1117
Simpang Kanan 1;-0.07604;109.5316;1117
KUBU PADI;0.11;109.42;1117
JUNGKAT;0.114704;109.261035;1117
Sungai Rasau;0.306893;109.0979;1117
Sungai Bakau Besar Darat;0.337673;109.053;1117
Anjungan Dalam;0.373297;109.1268;1117
Antibar;0.385317;109.0198;1117
BERLIMANG;1.379109;109.177493;1123
SEKURA;1.47271;109.169316;1123
SEMATA;1.514649;109.1435;1123
